ID,STATE,X,Y
1596,NY,-73.5846186,44.214863
1597,NY,-73.5386304,43.922026
1598,NY,-74.5526517,44.7143048
1599,NY,-74.9380984,44.5548506
1604,NY,-73.9275779,44.9540222
1609,NY,-74.4200701,43.9726366
1611,NY,-75.4313074,43.8857632
1612,NY,-73.4289694,43.8476387
1613,NY,-75.4363607,44.7176658
1614,NY,-75.4414411,43.834857
1615,NY,-75.494048,43.7874378
1616,NY,-74.7820061,43.7430481
1617,NY,-74.0003625,44.2780857
1618,NY,-73.7245356,44.3785824
1619,NY,-73.4290964,43.9512323
1620,NY,-74.4435575,44.22598
1636,NY,-73.6579685,44.8918476
1637,NY,-73.722917,44.7221839
2173,NY,-76.1591502,43.1635876
2175,NY,-76.1243177,43.0618368
2176,NY,-77.6750306,43.2904629
2177,NY,-77.5912332,42.953354
2178,NY,-77.4862337,43.1118299
2179,NY,-77.3765183,43.2679841
2181,NY,-77.4057777,42.1979085
2183,NY,-76.9407629,42.8808375
2184,NY,-77.6608796,43.0406136
2190,NY,-76.7344871,42.172813
2191,NY,-77.5985654,43.1774194
2192,NY,-76.2514552,42.3061748
2194,NY,-78.6387046,42.8495952
2195,NY,-76.1783395,42.6350149
2200,NY,-76.7599692,43.0746766
2201,NY,-78.7164856,42.6361648
2202,NY,-76.4384944,43.3831626
2203,NY,-78.98504,42.1598304
2204,NY,-76.291796,43.2329151
2205,NY,-77.2769444,42.8826293
2206,NY,-79.3556953,42.3155983
2207,NY,-76.2761221,43.1537739
2208,NY,-76.0775042,42.817134
2209,NY,-77.5981507,43.1487955
2210,NY,-78.5491962,42.2026781
2211,NY,-79.5049256,42.2537239
2212,NY,-76.50703,42.952012
2213,NY,-76.1850789,43.1200331
2215,NY,-76.6217624,43.0357732
2220,NY,-78.82712,42.6661301
2221,NY,-78.7176122,42.9949108
2222,NY,-77.6036236,43.1609487
2224,NY,-75.9934487,42.0971034
2226,NY,-78.7270653,42.9786891
2227,NY,-75.959746,42.1073383
2229,NY,-77.5392791,42.903857
2231,NY,-77.6729628,42.7255295
2232,NY,-77.1811296,42.9006344
2233,NY,-78.8504461,42.8765152
2234,NY,-78.839775,42.9205776
2235,NY,-78.8338357,42.9435456
2237,NY,-77.4694485,42.5579805
2238,NY,-78.4229594,42.5361
2239,NY,-77.7456102,42.9110953
2240,NY,-76.4832647,42.3572126
2241,NY,-77.2186562,43.0617179
2242,NY,-77.6393763,43.1935192
2243,NY,-77.5768179,43.1529982
2245,NY,-78.581915,43.1972374
2246,NY,-79.0211903,43.0871664
2247,NY,-76.297453,42.4937823
2248,NY,-77.6915968,43.0861073
2249,NY,-79.0473507,43.2457777
2250,NY,-78.2533723,42.9040065
2251,NY,-78.9360575,43.1139166
2258,NY,-77.6987525,43.0412826
2259,NY,-77.937155,43.2150583
2260,NY,-75.9519998,42.7366409
2262,NY,-78.9322836,43.0729139
2264,NY,-78.8220187,43.1895801
2265,NY,-78.9642173,43.1389657
2266,NY,-77.7040902,43.2389707
2268,NY,-78.9946139,43.1207719
2269,NY,-76.057291,42.2735363
2270,NY,-77.5172678,42.7894167
2271,NY,-77.435986,43.1080388
2273,NY,-79.0024711,42.456644
2274,NY,-76.8000595,42.0507903
2275,NY,-78.4921307,42.4143401
2278,NY,-76.2015162,42.3559886
2279,NY,-76.345361,42.5122096
2280,NY,-77.3096918,43.2768811
2282,NY,-78.8412161,42.7507827
2284,NY,-78.7546439,42.3894654
2285,NY,-76.8992741,42.7980033
2287,NY,-78.670743,42.2830379
2288,NY,-77.6284153,43.1977622
2290,NY,-76.4632477,42.8536288
2291,NY,-78.911658,43.239308
2292,NY,-78.5559709,42.8364894
2293,NY,-76.0242726,43.8097085
2295,NY,-77.7984966,43.2915606
2296,NY,-78.5553709,43.3315557
2297,NY,-76.8491437,42.4204791
2298,NY,-75.8981615,42.5417187
2299,NY,-76.6658285,42.1863986
2300,NY,-79.3688107,42.4641163
2301,NY,-76.6180923,42.7357869
2304,NY,-78.4990508,42.0939982
2305,NY,-78.6223775,42.9291054
2306,NY,-76.4301309,42.6617192
2308,NY,-77.9423941,42.5789673
2309,NY,-77.6122916,42.9045052
2310,NY,-77.8715401,42.7773216
2311,NY,-78.8890491,43.1398844
2314,NY,-78.7715516,43.0716442
2315,NY,-77.734181,43.2522803
2316,NY,-78.6928235,42.8545137
2317,NY,-78.8790389,42.7349272
2318,NY,-77.9927299,42.9771327
2322,NY,-79.4097851,42.1536629
2323,NY,-78.3600531,42.4284308
2324,NY,-76.6175517,42.6662299
2325,NY,-76.5368713,42.6680424
2327,NY,-76.3527825,42.0599672
2328,NY,-76.1486734,42.0886407
2329,NY,-76.5468408,42.0917003
2330,NY,-76.3362937,42.2341466
2331,NY,-77.8690343,43.1095598
2332,NY,-76.1562483,42.0687119
2333,NY,-75.9134501,43.941949
2334,NY,-78.3731487,42.0600256
2335,NY,-78.7078703,42.1571305
2336,NY,-78.3399436,42.0384003
2337,NY,-78.4295509,42.0863853
2338,NY,-78.5002868,42.0079
2339,NY,-78.4807218,42.4882691
2340,NY,-79.0287274,42.2398303
2341,NY,-77.6533389,42.4703407
2342,NY,-77.3139942,42.331953
2343,NY,-77.4187928,43.2226388
2344,NY,-78.9045441,42.1079872
2345,NY,-78.4992418,42.0946391
2346,NY,-78.6995763,43.2761516
2347,NY,-76.8477729,42.3454645
2349,NY,-76.7283328,42.0167743
2350,NY,-77.0333813,42.1235905
2351,NY,-78.3506498,42.3053262
2352,NY,-78.4392811,42.055976
2353,NY,-78.9338216,42.4636645
2354,NY,-78.6374133,42.2165825
2355,NY,-77.6041504,42.2698667
2356,NY,-78.9810033,42.413439
2357,NY,-78.8685593,42.3199675
2358,NY,-77.2349859,42.1047977
2359,NY,-77.6284147,43.1977648
2360,NY,-78.0748361,42.4996882
2361,NY,-77.9197115,42.0622318
2362,NY,-78.2482361,42.3949608
2363,NY,-76.1969334,42.5107982
2364,NY,-76.0298656,42.7122397
2365,NY,-76.0976046,42.5946124
2366,NY,-76.2243662,42.4282993
2367,NY,-77.6932128,43.1890326
2368,NY,-76.4366302,42.9444207
2369,NY,-77.9461255,43.2197894
2370,NY,-76.1439467,43.1046044
2371,NY,-76.1199105,43.1760519
2372,NY,-76.2736648,42.9297935
2373,NY,-78.431849,42.0769654
2374,NY,-78.4553189,42.3432069
2378,NY,-79.2440719,42.4849465
2379,NY,-76.4279091,42.458996
2380,NY,-76.3708885,42.3855318
2381,NY,-76.245178,42.1982917
2382,NY,-79.7104032,42.2660729
2383,NY,-76.6550143,43.1981133
2387,NY,-77.9539008,42.1197119
2388,NY,-76.4401116,42.1410697
2389,NY,-75.9045796,42.5352427
2390,NY,-76.4976325,43.1257301
2391,NY,-79.3228891,42.489793
2393,NY,-78.6831018,42.4013596
2394,NY,-79.7261526,42.1951556
2395,NY,-76.8200747,42.1013185
2396,NY,-76.5566484,43.2222873
2397,NY,-78.607925,42.3961597
2398,NY,-79.4115785,42.0442173
2399,NY,-76.3476538,42.7982097
2400,NY,-79.2947707,42.1211789
2401,NY,-79.246052,42.153093
2407,NY,-77.348364,42.9766447
2416,NY,-76.1117204,43.1139602
2429,NY,-78.9420551,42.4704305
2438,NY,-76.0741937,43.0856861
2451,NY,-76.1190619,43.7833219
2455,NY,-76.3933045,43.2752502
2456,NY,-76.2238465,43.2474821
2466,NY,-76.0628512,43.7121387
2475,NY,-76.2691654,42.1100361
2476,NY,-75.9266071,42.1066997
2477,NY,-76.3529555,43.1525295
2478,NY,-77.8814227,42.8368134
2480,NY,-76.7610845,43.0006418
2481,NY,-76.590233,42.5870703
2482,NY,-76.2588201,42.04436
2496,NY,-78.5331872,43.2427851
2498,NY,-76.1195566,42.0624692
2499,NY,-76.1538104,42.0179353
2500,NY,-76.1860762,42.3064834
2501,NY,-77.4962512,42.9315888
2508,NY,-77.2259722,42.7601141
2509,NY,-78.4172923,42.6214482
2510,NY,-76.1338201,42.5901822
2511,NY,-76.9834228,42.8687374
2512,NY,-76.9834228,42.8687285
